drug,condition,review,effect,rating
COZAAR,Bp,{''},"Extremely tired all day. Feel disconnected and fuzzy headed. Difficulty walking upstairs, dry mouth . Feel anxious and miserable. Never felt like this before",1
COZAAR,Blood pressure,{'Leave it at the pharmacy'},"This is awful medication, the anxiety is unreal along with the panic attacks!! Dizziness. Tingling in feet and legs. Fatigue all the time. Don't recommend it!!",1
COZAAR,Blood pressure,{'Hoping to stop it'},Jittery. Anxious and anxiety,1
COZAAR,HBP,{''},"Blood pressure a bit low, sleepy all day and insomnia at night, have migraines normally which seem to actually be less frequent/less intense.",4
COZAAR,High blood pressure,"{'Been trying to stop this medication but BP rises too high too quickly when off it after 36 hours. Felt nervous, shakes, and hypertensive in my arms. Felt better an hour after taking it. Need to ease off of it slowly.'}","Arm pain, tense muscles in back and left side, tension in neck and temple on left side of face, burning sensation in veins, headaches, eye strain, dry heaving, cold fingers and toes, sweaty, anxiety, feeling of hopelessness.",1
COZAAR,High BP,"{""When will this stop. I haven't taken it in 5-6 days. Has anyone else experienced side effects this long? Please email me. I have been to one of the biggest medical centers in the south and all my tests (heart,CT, bloodwork) came back beautiful.""}","I actually thought I was dying. Extreme dizziness, tachycardia, confusion, insomnia, loss of appetite, burning sensation from my lady parts up through my chest, extreme chest pain, SOB. Anytime I have a little pain or any movement through my body I get very dizzy.",1
COZAAR,hypertension,"{""Even when taken in the morning after good night's sleep and strong coffee, this drug causes me to feel extremely drowsy within an hour, but IRONICALLY it gives me 100% INSOMNIA at the same time! Maddening - it makes me terribly sleepy but totally unable to fall asleep!!! Also it causes coughing and burning sensation in chest. Only moderately lowers BP but it makes my heart rate drop by about 10 bpm. I will never take it again.""}","Total insomnia, extreme drowsiness (yes, both at the same time!), coughing, burning sensation in the chest, very low heart rate.",1
COZAAR,Hypertension,{'Lower my pressure better than beta blocker did'},None,5
COZAAR,High blood pressure due stress,{'Avoid taking conventional medicine by replacing it with alternative herbal remedies as I have mentioned in my comments.'},"Weakened my independence, memory deterioration aggression, lack of sleep, continues muscular aches, sob, anxiety and suicidal thoughts.",2
COZAAR,High blood pressure due to stress,"{""My search for side effects of lorsatan/cozaar, was the eye opener. I must stop this meds immediately to recover my health to normal before it's too late. Replace it by removing salt to Zero in diet to recover my health from severely crippling my health physically and mentally due to the side effects and enjoy my life by replacing with natural healthy diet I.e green smothie, made of parsley, cucumber, apples, celery and collard. Freshly squeezed grape fruit, lemon, raw honey, apple cider vinegar. And GOLDEN DRINK. made with Tumuric, powder cinnamon, dry ginger & black pepper. Mix all the above in warm milk and have it as hot drink 2hrs prior to going bed. Have a pint of warm H2O before going bed. It worthed as it removes your wrinkles cos your body is looked after with this home made medicine. Don't forget daily walks and a dancing aerobics in front of the mirror twice AM & PM before going bed. Happy Health Happy body.""}","Dizziness, low mood, emotionally/mentally very low, memory loss, aggression, tearful, muscular pain,lack of sleep, loss of appetite,poor concentration and back pain.",2
COZAAR,High Blood Pressure,{''},"I was on Atenolol 75 mg. Doctor changed me to Losartan. I've had so many side effects, headaches, nausea, backaches, heart flutters, no energy having to stay in bed! I refuse to continue to take this!",1
COZAAR,Hypertension,{'For me this is not an appropriate drug unless all possible deep investigative actions have been completed by a seasoned cardiologist!'},"Extreme tiredness, lethargy, insomina, headaches uncontrollable BP after various doses. 100mg had unacceptable side effects that doubled the above.",1
COZAAR,BP,{''},Insomnia,3
COZAAR,Thoracic aortic aneurysm,{''},"Terrible insomnia, I just dont fall asleep unless against the morning for a few hours. I finally tried 10 mg diazepam but still: no sleep. Further, restless legs, rashes, itchyness and loss of appetite (which i like actually for i would like to loose some weight)",2
COZAAR,Hypertension,{'Talk to Dr. In Dec.about switching to something else. Did try lisinopril first and that was a no go!'},"Light headied,sinusitis, sore back, shaky, heart flutters or racing,generally crummy. Did lower bp",2
COZAAR,Diabetic Heart attack,{''},"Hostility, anxiety, fatigue, depression, insomnia, muscle aches, weight gain!!!, dark thoughts. This is a horrible drug at least for me it was. It did lower my BP and heart rate to an optimist level but honestly I would rather have it be a little higher than be on this drug",1
COZAAR,BP,{'Nasty drug leave alone'},Mental drug !! Was on 25mg moved up by heart surgeon to 50mg for no real reason only a slight higher Number on Dys ! Then on to 100mg !! I feel absolute ill with this drug I'm stopping and going back to 25mg DONT take it unless you want back pain fatigue tiredness going to the toilet anyone else had loo problems with this ?? And anxiety big time,1
COZAAR,Elevated blood pressure,{'Beware of this drug. With only two doses it can make you miserable . Never again'},This drug is horrible . Only after second dose my body felt like it was on fire. Burning diarrhea & vomiting . Had anxiety off the charts,1
COZAAR,High Blood Pressure,{''},"I was lucky one of the ones that
I didn't get too many side effects from. I do have smelly cloudy urine so needs checking out. Blood Pressure bit better.",4
COZAAR,Hypertension,"{""She is changing it now but I don't know how long before the aches stop""}",My legs ached to the bone my hips and lower back ached. My doctor first said I wasn't eating enough protein ! Only after reading other people had lower back pain did I suggest it was this medicine.,1
COZAAR,Bp,{''},"Extremely tired all day. Feel disconnected and fuzzy headed. Difficulty walking upstairs, dry mouth . Feel anxious and miserable. Never felt like this before",1
COZAAR,Blood pressure,{'Leave it at the pharmacy'},"This is awful medication, the anxiety is unreal along with the panic attacks!! Dizziness. Tingling in feet and legs. Fatigue all the time. Don't recommend it!!",1
COZAAR,Blood pressure,{'Hoping to stop it'},Jittery. Anxious and anxiety,1
COZAAR,HBP,{''},"Blood pressure a bit low, sleepy all day and insomnia at night, have migraines normally which seem to actually be less frequent/less intense.",4
COZAAR,High blood pressure,"{'Been trying to stop this medication but BP rises too high too quickly when off it after 36 hours. Felt nervous, shakes, and hypertensive in my arms. Felt better an hour after taking it. Need to ease off of it slowly.'}","Arm pain, tense muscles in back and left side, tension in neck and temple on left side of face, burning sensation in veins, headaches, eye strain, dry heaving, cold fingers and toes, sweaty, anxiety, feeling of hopelessness.",1
COZAAR,High BP,"{""When will this stop. I haven't taken it in 5-6 days. Has anyone else experienced side effects this long? Please email me. I have been to one of the biggest medical centers in the south and all my tests (heart,CT, bloodwork) came back beautiful.""}","I actually thought I was dying. Extreme dizziness, tachycardia, confusion, insomnia, loss of appetite, burning sensation from my lady parts up through my chest, extreme chest pain, SOB. Anytime I have a little pain or any movement through my body I get very dizzy.",1
COZAAR,hypertension,"{""Even when taken in the morning after good night's sleep and strong coffee, this drug causes me to feel extremely drowsy within an hour, but IRONICALLY it gives me 100% INSOMNIA at the same time! Maddening - it makes me terribly sleepy but totally unable to fall asleep!!! Also it causes coughing and burning sensation in chest. Only moderately lowers BP but it makes my heart rate drop by about 10 bpm. I will never take it again.""}","Total insomnia, extreme drowsiness (yes, both at the same time!), coughing, burning sensation in the chest, very low heart rate.",1
COZAAR,Hypertension,{'Lower my pressure better than beta blocker did'},None,5
COZAAR,High blood pressure due stress,{'Avoid taking conventional medicine by replacing it with alternative herbal remedies as I have mentioned in my comments.'},"Weakened my independence, memory deterioration aggression, lack of sleep, continues muscular aches, sob, anxiety and suicidal thoughts.",2
COZAAR,High blood pressure due to stress,"{""My search for side effects of lorsatan/cozaar, was the eye opener. I must stop this meds immediately to recover my health to normal before it's too late. Replace it by removing salt to Zero in diet to recover my health from severely crippling my health physically and mentally due to the side effects and enjoy my life by replacing with natural healthy diet I.e green smothie, made of parsley, cucumber, apples, celery and collard. Freshly squeezed grape fruit, lemon, raw honey, apple cider vinegar. And GOLDEN DRINK. made with Tumuric, powder cinnamon, dry ginger & black pepper. Mix all the above in warm milk and have it as hot drink 2hrs prior to going bed. Have a pint of warm H2O before going bed. It worthed as it removes your wrinkles cos your body is looked after with this home made medicine. Don't forget daily walks and a dancing aerobics in front of the mirror twice AM & PM before going bed. Happy Health Happy body.""}","Dizziness, low mood, emotionally/mentally very low, memory loss, aggression, tearful, muscular pain,lack of sleep, loss of appetite,poor concentration and back pain.",2
COZAAR,High Blood Pressure,{''},"I was on Atenolol 75 mg. Doctor changed me to Losartan. I've had so many side effects, headaches, nausea, backaches, heart flutters, no energy having to stay in bed! I refuse to continue to take this!",1
COZAAR,High bp,{''},"Tingling in my arms and hands,sweating,heart pounds so hard at night I cant sleep.. my head feels stuffy.dry mouth. Can't sleep.my aniexty is through the roof! I'm done with this drug! Also my back hurts!",1
COZAAR,,{''},,4
COZAAR,Hypertension,{''},severe indigestion caused blood pressure to rise. Made me dizzy and anxious. Will not take anymore. I am done.,1
COZAAR,High blood pressure,{''},"Fatigue, shortness of breath, headache, cough, dry mouth, weight gain, bloating all over-face too, muscle pain and weakness and others (felt so much worse while taking, I had to stop.",1
COZAAR,Blood pressure,{'Do Not Use. Not Safe.Creeper side effects.'},"Coughing, tightness in throat,shortness breathe, sore throat.ER Dr immediately stopped it,almost needed a tracheotomy to breathe.",1
COZAAR,High blood pressure,{'Have been off for 48 hours and feeling better but still not myself just want to know when it will all be out my system.'},"Horrible drug ,first the headaches then one day after work heart started Racing..135 with slightly moving. Woke up out of sleep with HR of 165 SOB and terrible anxiety which I never had before. 3 ER trips, GI doctor due to horrible GERD exacerbation. Felt like I was dying. I thank GOD for the Internet because groups like this have helped me pin point what was going on.",1
COZAAR,hypertension,"{""I used to take Lisinopril. Worked great. Until the cough developed. Awful, so the dr switched me to Amlodipine. Well, wonders never cease, didn't really work, so they upped the dosage, which caused me to retain water like never before, couldn't put on socks, let alone shoes. So then they added Metoprolol and HCT. Still no decrease in my BP, and 3 pills...no thanks. Changed dr's and was started on Losartan. No real side effects at first, but also, no real change in my BP. She increased the dosage. Now I start noticing the side effects, but wasn't really attributing them to the blood pressure medication, like who would? Still no real change in my BP, if anything, it was increasing. Dr added carvedilol. A very slight change in BP. Covid happened, and my autoship meds were delayed, didn't have Losartan for 3 weeks. ALL of the side effects went away. Only taking the carvedilol and WOW! My BP is awesome now. In fact, I don't think it has ever been this good. Oh yeah, finally got the poison and it still sits in the package. Not taking this again.""}","Extreme lethargy, no energy, tired ALL the time, mood swings, SOB, aching in my neck/shoulders area and lower back/hips/legs. Oh, yeah, and it RAISES my blood pressure.",1
COZAAR,High Blood pressure,{''},"Nausea, anxiety/jittery, lack of concentration",1
COZAAR,Blood pressure,{''},Very bad bloating muscle pain trouble breathing weight gain fatigue mood swings.,1
COZAAR,Heart failure,{'I was switch from enapril cause I was having tightness in throat then I reacted to cozaar'},Burning feeling all over body even in mouth,1
COZAAR,HBP,{''},"Systolic drops suddenly 50 or more points from the 150s about 2 hours after taking the medication. I'm dizzy, faint and can't breath well for the next 20 minutes. Then the blood pressure starts to rise again slowly almost right away. Is there a slow release version? I also have headaches and I cant sleep well anymore.",1
COZAAR,High blood presdure,{''},"Joint pain, leg pain, knee stiffness, shortness of breath when exercising, tired",1
COZAAR,hypertension,{''},high blood pressure. shortness of breath when exercising. pounding heart at night.,1
COZAAR,BP,{'Will not take it again'},"Sore throat , anxiety early morning , blurred vision , ringing in the ears , felt tired all the time , sore left shoulder.",1
COZAAR,High BP,{''},"Insomnia (when taken at night), nasal congestion, cough with phlegm and congested lungs. I think it exacerbates my asthma. Don't feel dizzy or lightheaded.",1
COZAAR,High BP,{'I do not know if they are helping lower BP but I can not cope with all the side effects so I have to stop them.'},"Weight gain, back ache, tiredness, constant fatigue, headaches all the time waking up with them too, depression was awful, crying for no reason, no interest in anything as felt to weary to try to do anything.",1
COZAAR,High bp,{''},"I was taking lisinopril but the cough and itching were too much
So after almost a month Ion losartan have gained 7 pounds normally I'm 110 lbs now 117.indigestion wreaking havoc with my gut and my hair is falling out plus itching all over .i will stop today
This is not a life oh my BP 170/73 not so good
lots of itching and panic attacks",1
COZAAR,High blood pressure,"{""Came off of it after 3 days, would never take it again, to me it's lethal, this is my second day of not taking it.""}","Burning feels all over, I do have a bad lower back pain(sciatica) but it became ten times worse, very bad headaches all the the time no sleep.",1
COZAAR,High blood pressure,{''},"Burning, tingling sensations throughout my body. Cannot sleep with these sensations. Very fatigued and somewhat depressed. I believe this drug is destroying my life. It does bring blood pressure down but the cost to my well being is to high. Got to get off this poison!!!",1
COZAAR,high blood pressure,{''},fatigue,4
COZAAR,Hypertension,{''},I previously took 10mg Amlodipine with 8mg perindopril. Did not lower blood pressure. Just gave me headaches and a cough. I started on Losartan 100mg with no side effects but little effect on lowering blood pressure. Then often 190/110. Doctor suggested adding 5mg amlodipine. No side effects and blood pressure now steady at 130s/80s. Losartan works successfully with amlodipine with no side effects,5
COZAAR,Reduce blood pressure,{''},"It does seem to work. However, the side effects are hard to tolerate. I felt better before I started taking this med. The fatigue and blurred vision, weird muscle aches and strange sensations in my chest are making me miserable. I am presently changing lifestyle habits in order to stop taking this drug.",3
COZAAR,High Blood Pressure,{''},Fatigue most of the time but the worse was dealing with leg and knee pain. Right before I stopped taking this poison it was so hard for me to walk the pain was so bad. Never thought for one second it was this drug. I swore I had arthritis through my whole body. I would go to your gym and would be in pain for a week. After switching to a new med my legs and knee weed back to normal in 2 days. So scary. What kind of poison are we taking to have this affect. Crazy,1
COZAAR,High BP,"{""I would agree that this dug feels as though it slowly poisons you. Obviously, not everyone (or maybe even most patients) will have this reaction, but it has been bad for me. I started taking about 3 years ago. I'm an avid runner and after about 6 months of taking this drug, my running began declining dramatically. Naturally, I would accept some decline with age and menopause, but my decline was ridiculous. Nothing physically wrong with me that doctor could find. The only difference had been taking this drug. I'm going off these meds to see if it makes a difference. I've always enjoyed great health and energy until I began cozaar.""}","Weight gain, fatigue, diarrhea, distraction, heartburn.",1
COZAAR,High blood pressure,{'This stuff is poison. Seeing doctor next week to switch.'},Initially no side effects. Did lower blood pressure. After several months started feeling bloated and nauseous every day. Soon after developed shortness of breath on exertion. I walk 7 miles per day and this had never happened. Severe hip and arm pain. Several throat infections over course of a year. Gained 25 pounds in 6 months. Extreme fatigue. Stopped taking it 2 days ago and feel better already.,1
COZAAR,High blood pressure,"{'These medical companies treat your pressure but they make sure they destroy your other organs either by failure heart, kidney , bladder or stomach .\nIam planning to stop it and go back to natural way of healing'}","I cannot believe a medication can cause all this, I felt every day is my last day, I had severe anxiety, every night I feel am going to die, hard belly, chest pain, sharp pain between my shoulders, joint pain, severe headache and a lot of acid. I just got off it and went back to valsartan. I know it is not the great med but the side effects is way less.",1
COZAAR,High blood pressure,{''},Sinus congestion cannot breath out of my nose at all.,1
COZAAR,High Bp,{'Stopped immediately after first night'},Took one night never ever again. The nightmare would have made Steven king proud. I also had to wake hubby up as I couldn’t move. Felt like I was pinned to bed.,1
COZAAR,High blood preassure,{''},Dizzy dizzy dizzy! Blood pressure not necessarily reduced. Coughing all the time. Lethargy. Cannot do things I did before due to dizziness.,2
COZAAR,Mild Hypertension,{'Use extreme caution when using Cozaar (Losartan) as even though side effects may seem minimal at first compared to other BP meds. The side effects will sneak up on you. I am going to do my best to watch my salt intake and caffeine intake (by limiting # of soda per day) and keeping active. A 30 lb wight gain in exactly 2 years is unacceptable and constantly feeling awful is no fun.'},"At first I thought Losartan was a miracle drug after trying Lisinopril and Metoprolol. My BP went down to a steady 120/80 and compared to the other two meds, I had minimal side effects. To begin with my BP was slightly elevated when out in BP meds 130/85 but due to family history was prescribed Metoprolol. I switched to Losartan 2 years ago and went from 166 lbs to 190 lbs despite eating healthy foods and working out regularly. Then the side effects suddenly started to sneak up on me. Extreme dizziness, fatigue, heavy feeling in legs and chest. Severe muscle spasms & cramps. Absolutely no sex drive, frequent urination - 5X that of normal rate. Burning in chest, esophagus, and throat. Constantly feeling like food is getting stuck in throat to the point of choking. Always trying to burp to release gas build up in stomach. & chest.. Flush face, cheeks turning red in the middle of meeting presentations Lack of concentration & focus. Constant stress and nervousness about my health condition & symptoms. Even though it lowered BP to 120/80, I would constantly feel like my heart would race after eating and when going to bed at night! I’ve decided that I am to try my best to take the natural route. For two weeks I’ve been off Cozaar and have lost 6 lbs, headaches & dizziness has stopped and I actually feel like I’m back in my own body and not like a walking zombie.",1
COZAAR,High Blood Pressure,"{'I was on exforg and my only side effects was dizziness, shortness of breath and gout symthoms. So my Dr. switched me to 100mg of Losartan which has been the drug from hell. Will be going back to Dr. to discuss.'}",I don't know what is worse high bp or Losartan side effects. Fatague to where it is impossible to do any physical work. Mild anxiety.Joint pain.Mild blurred vision.Dizziness. Shortness of breath.Mild depression.Sometimes unsteadyness when walking. & brain fog at times.,1
COZAAR,BP,{''},"Absolutely terrible mood swings, irrational thoughts (violence, suicidal thoughts), depression, anxiety and severe insomnia. I was sleeping less than 4 hours a night and heart raced continuously. Talked to doctor and got off right away. Trying the next drug....",1
COZAAR,high blood pressure,"{""Has worked for over a year but it is not working as good.\nI have to switch from 75 mg to 50 mg after 2-4 weeks. Otherwise it over medicates me ( side effects are worse)and it doesn't work as good at 75 mg. BP goes up and BPM goes up toward the end of the 3-4 week period. But at 50 mg it works good for a few weeks but than BP increases BPM stays low but in all the side effects are not as bad.All except the white noise side effect is still present and it is hard to hear at night for country noises...crickets and the such. And the more you concentrate the worse it gets.""}","sleeplessness, chest tightness,white noise worse at 75 mg
chest congestion for no reason.headache behind left eye, blurry vision
aching legs and back, concentration and short term memory sucks",3
COZAAR,blood pressure,{''},Been on Losartn for years...until drug store changed companies I had no problems...new company in one year..destroyed my stomach and damaged my kidneys. Lots of side affects from a leaky gut and food intolerances I've not had previously.,1
COZAAR,Bp,{''},"Loss OF appetite hair falling out
tired always blurred vision bowel habits changed",2
COZAAR,Bp,"{'Been having anxiety and dizzyhead, the head congestion'}",,3
COZAAR,High Blood Pressure,{''},"I was on 50mg for years with no problems. BP getting a bit higher so doc put me on 100mg. I have never felt so ill. Depressed, tingling, tremors, electric shock, weight loss. Went back to 50mg and after 9 days feel a lot better.",1
COZAAR,High blood pressure,{'Not really working for me'},Too many to list,2
COZAAR,High Blood Pressure,{'My doctor acted like he didnt believe me but this stuff was horrific. I felt like I had the flu all the time and it would never go away until I stopped taking it. I switched to Clonidine and finally got a bp medication that I can handle the side effects.'},Strange flu type feeling with incredibly bad mood all the time.,1
COZAAR,Hbp,{''},"Back and shoulder pain also had trouble urinating, so I stopped taking the drug.",1
COZAAR,Hbp,{''},"Back and shoulder pain also had trouble urinating, so I stopped taking the drug.",1
COZAAR,HBP,{'If you suffer from a mood disorder be very careful of the dosage and combinations of HBP meds.'},"I have high blood pressure and depression. Have dealt with depression most of my life. Take an ssri for depression. When blood pressure meds were added 10 years ago ssri didn't seem to work as well. Eventually adjusted some to 50 mg losartan/Htc. I still didn't feel as well mood wise as when I wasn't taking HBP meds. Also take a calcium channel blocker. Whenever the heart doctors have increased Losartan to 100 mg depression gets much worse as does agitation and bad dreams, restless sleep. I lose interest in everything I normally enjoy and have no motivation. I also reacted the same way on Diovan and Benicar when doses went higher. It does help with HBP but I cannot tolerate a higher dose.",1
COZAAR,HTN,{''},"Food is disgusting, can't take the drug any more Been off 3 days and food still bitter.",1
COZAAR,High Blood Pressure,{'Barely lowered my blood pressure.'},"Couldn't breathe through my nose AT ALL, headaches, violent mood swings (I acted like a psychopath at times), kidney damage.",1
COZAAR,Hbp,"{""Really don't like taking any drug/too many side effects""}",Anxiety/panicky feelings,1
COZAAR,High blood pressure,{'Chest stomach cramps'},Heart racing leg pains like cramps,1
COZAAR,Blood Pressure,"{""After I had taken one pill about mid-afternoon, I awoke about 3:00 in the morning very dizzy, the room was spinning. I could not see out of my left eye the next day. I had developed a retinal artery occlusion in my left eye. It's irrevocable. Drugs.com and FDA list blindness as a common side effect of Losartan. Why don't doctors know this?""}",Blindness,1
COZAAR,Hypertension,"{""I have been on this drug in different doses for 3 years. Beside all the side effects it doesn't do a good job of lowering blood pressure I will be trying a different drug""}",Dry mouth muscle cramps espescially in legs fogginess tired,1
COZAAR,Hypertension,{'Side effects started within a few hours of 1st dose. Headache and vertigo was so severe I called doctor after 7 days and was instructed to stop tablets immediately'},"Dizziness, vertigo, pounding headache, spaced out, lethargy, sleep disturbance, frequent stools and urination",1
COZAAR,High Blood Pressure,{''},,1
COZAAR,Hypertension,{'Side effects cause sleepless nights'},Swollen ankles tingling and burning legs and feet,1
COZAAR,high blood pressure,{'Almost the same results i got when i took an ace inhibitor although the Cozaar is not quite as bad.'},Pain in my joints after taking cozaar 6 weeks. Hip lower back and shoulder pain very painful.My doc says i have to get use to some side effects. I'm not so sure I can.,3
COZAAR,Blood pressure,{'Did lower BP. Could not tolerate side effects.'},"Chest pain, indigestion, asthma like symptoms, fatigue",1
COZAAR,hbp,{'With the BP think it will help in the long run since I started not quite long.... Few days'},Not really but it's not helping my BP and also my 2months old baby is reacting to it... Having air bubbles in the stomach,3
COZAAR,Blood pressure,{''},"Weight gain, body aches, exhausted, sleep problems,indigestion",4
COZAAR,Hypertension,{'Sleepless nights with side effects'},Swelling calves and tingling legs and feet,1
COZAAR,Blood Pressure,{''},"Since being on this medication, I have been having anxiety attacks, mostly at night but sometimes during the day. It has lowered my BP but not sure how much of this anxiety I can take. I've never dealt with this before. Also having some issues with short term memory and fuzziness. Makes it harder to do my job.",2
COZAAR,Hypertension,{''},"When doctor incresed me from 25 to 50 mg after 2 weeks and no results, I did not see any significant side effects. Now for the past 2 days he has increased me to 100 mg. I have no improvement in my bp. Runs 120's to 140's systolic and 90's diastolic. Since the increase to 100mg, I seem to ache all over. I do feel like I can get a deeper breath, but the aches are terrible.",2
COZAAR,high blood pressure,{'bad medicine'},"Extreme tiredness,very weak,fever,light headed constantly urinating I can barely stand,joints ache shortness of breath,to some it up this is not for me,I stopped taking it two days I felt better that's how I know it's the medicine..",1
COZAAR,Bp,"{""well my Fifth BP medicine and my last, I just decided this poison is not for me. I have had the worst 3 weeks on this stuff. I'm going the Holistic route. So other people have done it so can I, my Bp is 160/90 this medication makes it rise. I will return to meds if I can't achieve my BP goal by holistic means in a year. Diet and weight loss are the key. People who say that they have no side effects from this drug don't know their body IMHO. Your body wants to be healthy, this stuff is just a bandaid for your health problem. You can cure yourself and be better for it👍🏼""}","Anxiety,chest pain, vision problems",1
COZAAR,HYpertension,"{""Doesn't really decrease bp""}","Fatigue, weight gain, itchy rash, makes me want to sleep all day.",2
COZAAR,High blood pressure,{'No really bad side effects. Mild cough.'},Tiny cough that lasted a week.,3
COZAAR,High BP,{'When will these feelings go away after I stopped. 2 days off now. I told the Dr. about the bleeding and very low BP & she said to take it at night instead of the morning. My cardiologist said to stop it completely.'},"Heavy blood in stool and urine, swollen & stinging, burning in my eyes, blurred vision, loss of concentration, dizzy, back & side pain, confusion, entire body swollen, headaches, lethargic, itching, bug like feelings, too low blood pressure. It felt like I was poisoned.",1
COZAAR,hypertension,{''},"Used cozaar 15+ yrs, good control, no bad effects. Then Bam! Drs. Want to take me off of it. Had recent high potassium levels. First thing they want to do is TRY everything. I am skeptical to say the least.",4
COZAAR,Hypertension,"{'This worked very well for my mild hypertension, but cannot tolerate the side effects'}",Within 3 days experienced significant muscle soreness after exercise. This was new to me. Fatigue and continued muscle aches and joint pains. Seem more depressed and very fatigued. Stopped taking it and after a week the aches and pains are 50% better and mood and energy returning.,2
COZAAR,High Blood Pressure,"{""I've been on this for three weeks, after having a horrible experience with Lisinopril. I had been taking Lisinopril for a year at 7.5mg/day, but two months ago, my doctor said up it to 10mg. Within three days, I had horrible jitters and muscle aches, and was super down, debilitated, painful urination (was tested for everything, everything negative, and normal).\nI requested to be switched to losartan. Felt awesome for the ten days after lisinopril. Jitters faded. Felt good. But at about 12 days on losartan, and I started feeling varicocele pain, low energy, depression, abdominal pain, and a weird burning when urinating.\nI cut pills to half for a couple days and felt a little better. I just can't tell if these are side effects, or part of my varicocele pain.\nKeeps BP in control, but last only exactly 24 hours in my system.\nIt's been a rough few months.\nThe best thing about losartan is the ability to achieve an erection with no problem. I had problems on lisinopril, and didn't realize how bad it was until I got on losartan, and it's better quality than it ever was with viagra - and it's all me. That in itself makes me want to push on and try to overcome any possible side effects.""}","Malaise, possibly depression, down, low energy. Might be from varicocele, but also strange pain in tip of penis. Abdominal ache on lower left side, sometimes headache.",3
COZAAR,hypertension,{''},"Headache, chronic, occasional dizziness",1
COZAAR,High Blood Pressure,"{""Losartan never brought my blood pressure down. Doctor didn't know the side effects of this drug....had to educate him about it. Doc did an EKG on me....said I was having a heart attack. Went to hospital. Their EKG and blood work didn't show heart attack. Doctor in ER said Losartan causing cough and chest pain. Requested from my doctor to take me off Losartan. Increased my Bystolic to 10mg. BP came down.""}",Chest tightness. Extreme coughing. Electrical charges on feed and hands. Itching. Arrhythmia a couple hours after taking it...lasted for only a couple of hours.,1
COZAAR,high blood pressure,"{'I was wondering why I felt depressed, confused, and experiencing anxiety/panic attacks. I began reading the side effects and noticed those are some of the most common effects. I want to stop but Physician advice me to try half of the pill and monitor my BP and side effects.'}","Depression, confusion, and anxiety.",1
COZAAR,High Blood Pressure,{'Has controlled my BP and I have more energy than before. Also seems to be calming.'},No side effects.,5
COZAAR,high blood pressure,"{""Nifedipine XL 60 mg and lisinopril 40 mg had been controlling my blood pressure well. The doctor changed me from lisinopril to losartan because of the annoying cough caused by lisinopril. Now my diastolic has shot up to the mid 90's, heart rate over 100, and my head and neck feel full of pressure. I'd rather put up with the lisinopril cough than have a stroke. Useless medicine in my case.""}","Light-headed, fast heart rate, ears ringing. Not lowering my blood pressure at all.",1
COZAAR,high BP,"{'appears to do the job, but the fatigue is distressing.'}","tired, fatigue, light-headed",4
COZAAR,HBP,{'I do not care for this med. I feel worse on it than I did before when on Prinizide.'},"I have had an increase in BP while on 50 mg and Dr increased to 100. Now, ankles and legs oedematous and skin feels tight. I see Dr. Next week and going to ask to go off of this med. I have never had problem with Linsinopril except for the nagging cough which I would gladly trade for this uncomfortable edema and chest uneasiness which I never had before.",2
COZAAR,blood pressure,{'Would NEVER take this medication again'},"Severe vertigo every time I laid down. Quit taking it and went to doctor. He said the vertigo was just a coincident and not the med. He said to start taking 1/2 pill once the vertigo quit. I knew I shouldn't take it again, but I did when the vertigo stopped after 2 weeks. 2 days after I started again I had vertigo that lasted even longer - about 6 weeks. I also developed labyrinth that lasted for months and I still get it on and off. I'm still scared to lay flat down and sleep elevated a year later.",1
COZAAR,HBP,{''},"No side effects, but hasn't lowered my BP (maybe even increased it slightly??). Dr. wants to put me on Diovan, but am thinking I should just go back to cutting out sugar and refined carbs and control it the natural way :/",3
COZAAR,Blood Pressure,"{'DR, switched me from Diovan to Losartan for cost reasons. An earlier rating mentioned this helped with ED. I found this to be true, too. Am taking Cialis 5mg. daily for BPH and ED.'}",None,5
COZAAR,High blood pressure,{''},Bp stayed high. After about 1 month or so chest would hurt continued taking. Told doctors they didn't change it one doctor even said I heard something when listening to heart did nothing two weeks later heart went afib. Went to er after one day got it back in gave me more medicince and left me on this one also. Tried to tell them my heart still hurt after I took it. Went to another doctor he took me off and heart stopped hurting. No more afib. Been two years.,1
COZAAR,hypertension,{''},The generic version does not work. If anything BP increased.,1
COZAAR,High Blood Pressure,{''},I tried taking this medication about 2 weeks ago and got really bad chest pains for 2 days. Being an EMT I stopped taking it because my pain was bad. I tried taking it again today thinking maybe something didn't react well with it but same thing. I took it this morning and about 4 hours later my chest pain is back. I'll be calling my doctor to say I can't takethis medication.,1
COZAAR,High Blood Pressure,{''},"AFTER BEING ON DIOVAN HCT FOR 10 YEARS WHICH CONTROLLED MY BP VERY WELL WITH NO SIDE EFFECTS AT ALL....INSURANCE REASONS SWITHCED TO LOSARTAN...INSTANTLY HAD HORRIBLE HEADACHES AND AFTER 2 WEEKS BP WAS CLIMBING UP...155/105 AND CONSISTENT BAD READINGS...SUCH A BAD MED I DECIDED ID RATHER PAY THE 400$ A MONTH JUST TO BE BACK ON THE DIOVAN....AFTER SWITCHING BACK MY READINGS WERE INSTANTLY BETTER, AND IM VERY HAPPY .",1
